date,count
2020-01-01,0
2020-01-02,6
2020-01-03,9
2020-01-04,0
2020-01-05,1
2020-01-06,4
2020-01-07,2
2020-01-08,0
2020-01-09,103
2020-01-10,58
2020-01-11,5
2020-01-12,2
2020-01-13,30
2020-01-14,17
2020-01-15,7
2020-01-16,35
2020-01-17,44
2020-01-18,3
2020-01-19,12
2020-01-20,198
2020-01-21,282
2020-01-22,524
2020-01-23,478
2020-01-24,385
2020-01-25,242
2020-01-26,420
2020-01-27,1077
2020-01-28,4982
2020-01-29,4627
2020-01-30,5541
2020-01-31,5681
2020-02-01,2186
2020-02-02,4097
2020-02-03,8006
2020-02-04,8666
2020-02-05,9428
2020-02-06,7926
2020-02-07,6783
2020-02-08,2423
2020-02-09,3718
2020-02-10,6400
2020-02-11,6300
2020-02-12,6160
2020-02-13,6447
2020-02-14,4590
2020-02-15,1570
2020-02-16,3025
2020-02-17,5393
2020-02-18,5846
2020-02-19,7363
2020-02-20,9701
2020-02-21,10931
2020-02-22,6304
2020-02-23,8652
2020-02-24,16507
2020-02-25,16954
2020-02-26,17721
2020-02-27,17665
2020-02-28,15629
2020-02-29,5678
2020-03-01,8255
2020-03-02,15886
2020-03-03,14916
2020-03-04,16232
2020-03-05,15513
2020-03-06,11467
2020-03-07,4394
2020-03-08,6662
2020-03-09,13465
2020-03-10,14888
2020-03-11,14445
2020-03-12,14319
2020-03-13,10812
2020-03-14,3714
2020-03-15,6240
2020-03-16,12259
2020-03-17,13324
2020-03-18,13934
2020-03-19,12949
2020-03-20,9543
2020-03-21,3715
2020-03-22,5607
2020-03-23,11825
2020-03-24,12121
2020-03-25,11835
2020-03-26,12097
2020-03-27,9028
2020-03-28,3695
2020-03-29,5569
2020-03-30,11378
2020-03-31,11386
2020-04-01,11530
2020-04-02,11168
2020-04-03,8655
2020-04-04,3287
2020-04-05,4950
2020-04-06,10002
2020-04-07,10641
2020-04-08,9804
2020-04-09,9453
2020-04-10,7209
2020-04-11,2441
2020-04-12,4201
2020-04-13,8996
2020-04-14,8009
2020-04-15,3953
2020-04-16,7058
2020-04-17,6592
2020-04-18,2337
2020-04-19,3817
2020-04-20,8005
2020-04-21,7726
2020-04-22,7692
2020-04-23,8050
2020-04-24,5829
2020-04-25,2041
2020-04-26,3332
2020-04-27,6948
2020-04-28,7806
2020-04-29,6975
2020-04-30,3180
2020-05-01,3527
2020-05-02,1793
2020-05-03,2523
2020-05-04,4899
2020-05-05,3084
2020-05-06,6597
2020-05-07,6300
2020-05-08,5076
2020-05-09,2040
2020-05-10,3618
2020-05-11,6421
2020-05-12,6589
2020-05-13,7211
2020-05-14,6723
2020-05-15,5532
2020-05-16,1884
2020-05-17,2811
2020-05-18,5876
2020-05-19,7000
2020-05-20,6199
2020-05-21,5448
2020-05-22,4331
2020-05-23,1597
2020-05-24,2568
2020-05-25,4714
2020-05-26,5551
2020-05-27,5465
2020-05-28,5887
2020-05-29,4412
2020-05-30,1487
2020-05-31,2483
2020-06-01,4839
2020-06-02,4469
2020-06-03,4773
2020-06-04,4420
2020-06-05,3342
2020-06-06,1315
2020-06-07,2350
2020-06-08,4185
2020-06-09,4526
2020-06-10,4497
2020-06-11,4500
2020-06-12,3967
2020-06-13,1315
2020-06-14,2043
2020-06-15,4437
2020-06-16,4809
2020-06-17,4879
2020-06-18,4273
2020-06-19,3456
2020-06-20,1500
2020-06-21,2109
2020-06-22,4084
2020-06-23,4599
2020-06-24,4466
2020-06-25,4313
2020-06-26,3490
2020-06-27,1476
2020-06-28,2328
2020-06-29,4208
2020-06-30,4306
2020-07-01,4357
2020-07-02,4687
2020-07-03,3888
2020-07-04,1581
2020-07-05,2482
2020-07-06,4272
2020-07-07,4393
2020-07-08,4407
2020-07-09,4197
2020-07-10,2727
2020-07-11,1385
2020-07-12,1901
2020-07-13,3924
2020-07-14,4305
2020-07-15,3940
2020-07-16,3668
2020-07-17,3163
2020-07-18,1250
2020-07-19,1815
2020-07-20,3644
2020-07-21,3765
2020-07-22,3729
2020-07-23,3539
2020-07-24,2944
2020-07-25,1011
2020-07-26,2039
2020-07-27,3681
2020-07-28,3604
2020-07-29,3657
2020-07-30,3940
2020-07-31,2823
2020-08-01,1078
2020-08-02,1576
2020-08-03,2810
2020-08-04,3112
2020-08-05,2882
2020-08-06,2775
2020-08-07,2183
2020-08-08,800
2020-08-09,1280
2020-08-10,2821
2020-08-11,2938
2020-08-12,3285
2020-08-13,3439
2020-08-14,3093
2020-08-15,1663
2020-08-16,2031
2020-08-17,3573
2020-08-18,6627
2020-08-19,7195
2020-08-20,7396
2020-08-21,6453
2020-08-22,2847
2020-08-23,3667
2020-08-24,7156
2020-08-25,7205
2020-08-26,5981
2020-08-27,6595
2020-08-28,5078
2020-08-29,2093
2020-08-30,3106
2020-08-31,6321
2020-09-01,5804
2020-09-02,5333
2020-09-03,5104
2020-09-04,3825
2020-09-05,1457
2020-09-06,1889
